
================================================================================
[2026-09-08 07:15:06] Starting GeoMind Continuous Memory Monitor (Interval: 10s)
================================================================================
[2026-09-08 07:15:06] Hooked geomind PID 22392 | Initial WS: 111.55 MB | Initial Commit: 113.16 MB
[2026-09-08 07:15:07] PID: 22392 | WS: 111.55 MB (dWS: 0 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 126.2s | SysFreeVM: 103735 MB | Ckpt: 50MB at 07:14:26
[2026-09-08 07:15:17] PID: 22392 | WS: 111.55 MB (dWS: 0 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 136.5s | SysFreeVM: 103701 MB | Ckpt: 50MB at 07:15:09
[2026-09-08 07:15:27] PID: 22392 | WS: 111.55 MB (dWS: 0 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 146.7s | SysFreeVM: 103728 MB | No ckpt change
[2026-09-08 07:15:37] PID: 22392 | WS: 111.55 MB (dWS: 0 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 156.9s | SysFreeVM: 103736 MB | No ckpt change
[2026-09-08 07:15:48] PID: 22392 | WS: 111.55 MB (dWS: 0 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 167.1s | SysFreeVM: 103742 MB | No ckpt change
[2026-09-08 07:15:58] PID: 22392 | WS: 111.56 MB (dWS: 0.01 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 177.3s | SysFreeVM: 103719 MB | Ckpt: 50MB at 07:15:52
[2026-09-08 07:16:08] PID: 22392 | WS: 111.56 MB (dWS: 0.01 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 187.5s | SysFreeVM: 103740 MB | No ckpt change
[2026-09-08 07:16:18] PID: 22392 | WS: 111.56 MB (dWS: 0.01 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 197.7s | SysFreeVM: 103742 MB | No ckpt change
[2026-09-08 07:16:29] PID: 22392 | WS: 111.56 MB (dWS: 0.01 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 208s | SysFreeVM: 103764 MB | No ckpt change
[2026-09-08 07:16:39] PID: 22392 | WS: 111.57 MB (dWS: 0.02 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 218.1s | SysFreeVM: 103716 MB | Ckpt: 50MB at 07:16:35
[2026-09-08 07:16:49] PID: 22392 | WS: 111.57 MB (dWS: 0.02 MB) | Commit: 113.16 MB (dPM: 0 MB) | VM: 4321.21 MB | CPU: 228.2s | SysFreeVM: 103721 MB | No ckpt change
