================================================================================
  GEOMIND STEADY-STATE STREAMING [SFT] TRAINING LOG
  Target Loss: 2.50 | Base LR: 0.000100 | Min LR: 0.000002 | Decay: cosine
================================================================================

[GeoMind SFT Stream] Epoch 1 | Progress:    448 / 222371 (  0.2%) | TL: 14.0543 | ATL: 14.0543 | VL: 11.0904 | AVL: 11.0904 | VPPL: 65535.94 | Rate: 25.0 s/s | LR: 0.000002

>>> [EPOCH 1 COMPLETE] Total Samples Streamed: 1496 | Val Loss: 11.0904 | Val PPL: 65535.94 <<<

[GeoMind SFT Stream] Ep 1.0 | TL: 6.84201 | ATL: 6.84201 | VL: 3.87592 | AVL: 3.87592 | VPPL: 48.2272 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 5.81658 | ATL: 5.82307 | VL: 3.92403 | AVL: 3.87833 | VPPL: 48.3434 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 5.41747 | ATL: 5.62282 | VL: 3.97467 | AVL: 3.88315 | VPPL: 48.5768 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 5.10084 | ATL: 5.46471 | VL: 4.00342 | AVL: 3.88916 | VPPL: 48.8698 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.92268 | ATL: 5.34813 | VL: 4.02195 | AVL: 3.8958 | VPPL: 49.1954 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.87333 | ATL: 5.27004 | VL: 4.02518 | AVL: 3.90227 | VPPL: 49.5146 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.99607 | ATL: 5.22267 | VL: 4.03219 | AVL: 3.90876 | VPPL: 49.8373 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.9661 | ATL: 5.18168 | VL: 4.03016 | AVL: 3.91483 | VPPL: 50.1408 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.90959 | ATL: 5.14809 | VL: 4.02556 | AVL: 3.92037 | VPPL: 50.4191 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.78811 | ATL: 5.11027 | VL: 4.05315 | AVL: 3.92701 | VPPL: 50.755 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.89349 | ATL: 5.08495 | VL: 4.03675 | AVL: 3.9325 | VPPL: 51.0342 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.84845 | ATL: 5.06362 | VL: 4.03302 | AVL: 3.93752 | VPPL: 51.2914 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.71723 | ATL: 5.03762 | VL: 4.06737 | AVL: 3.94401 | VPPL: 51.6255 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.91755 | ATL: 5.02752 | VL: 4.06566 | AVL: 3.9501 | VPPL: 51.9404 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.89282 | ATL: 5.01627 | VL: 4.06939 | AVL: 3.95606 | VPPL: 52.2511 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.84322 | ATL: 5.00472 | VL: 4.1061 | AVL: 3.96356 | VPPL: 52.6446 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.5261 | ATL: 4.98248 | VL: 4.11853 | AVL: 3.97131 | VPPL: 53.0541 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.80173 | ATL: 4.96914 | VL: 4.09024 | AVL: 3.97726 | VPPL: 53.3705 | LR: 0.0005
[GeoMind SFT Stream] Ep 1.0 | TL: 4.69026 | ATL: 4.95204 | VL: 4.10725 | AVL: 3.98376 | VPPL: 53.7185 | LR: 0.0005
